date_date,orders_id,products_id,turnover,qty,purchase_price,purchase_cost,product_margin,product_margin_percent
13/08/2021,959770,95325,4.6,1,0,0,4.6,1
08/08/2021,955815,95325,4.6,1,0,0,4.6,1
29/06/2021,919249,69120,2.66,1,2,2,0.66,0.25
05/08/2021,953637,69120,3.12,1,2,2,1.12,0.36
17/08/2021,962595,69120,3.12,1,2,2,1.12,0.36
13/08/2021,959831,69120,3.12,1,2,2,1.12,0.36
12/07/2021,933091,69120,3.12,1,2,2,1.12,0.36
21/09/2021,994698,69120,2.49,1,2,2,0.49,0.2
26/09/2021,997764,69120,2.49,1,2,2,0.49,0.2
04/09/2021,978471,69120,3.12,1,2,2,1.12,0.36
05/07/2021,926509,69120,3.12,1,2,2,1.12,0.36
05/08/2021,953562,69120,3.12,1,2,2,1.12,0.36
30/08/2021,973914,69120,3.12,1,2,2,1.12,0.36
27/08/2021,971353,69120,3.12,1,2,2,1.12,0.36
17/09/2021,991024,69120,2.49,1,2,2,0.49,0.2
20/09/2021,993471,69120,2.49,1,2,2,0.49,0.2
27/06/2021,917567,69120,2.66,1,2,2,0.66,0.25
28/07/2021,946773,69120,3.12,1,2,2,1.12,0.36
05/08/2021,953881,69120,3.12,1,2,2,1.12,0.36
02/09/2021,976609,69120,3.12,1,2,2,1.12,0.36
07/06/2021,900020,69120,2.81,1,2,2,0.81,0.29
28/08/2021,971994,69120,3.12,1,2,2,1.12,0.36
14/07/2021,934429,69120,3.12,1,2,2,1.12,0.36
09/06/2021,902008,69120,3.12,1,2,2,1.12,0.36
27/06/2021,916952,69120,2.66,1,2,2,0.66,0.25
12/07/2021,932681,69120,3.12,1,2,2,1.12,0.36
26/09/2021,997533,69120,2.29,1,2,2,0.29,0.13
26/09/2021,997675,69120,2.25,1,2,2,0.25,0.11
14/06/2021,906928,69120,2.88,1,2,2,0.88,0.31
07/09/2021,981451,69120,3.01,1,2,2,1.01,0.34
16/06/2021,908379,69120,2.66,1,2,2,0.66,0.25
08/07/2021,929707,69120,3.12,1,2,2,1.12,0.36
16/09/2021,989944,69120,2.49,1,2,2,0.49,0.2
17/08/2021,962947,69120,3.12,1,2,2,1.12,0.36
09/07/2021,930583,69120,3.12,1,2,2,1.12,0.36
27/06/2021,917535,69120,2.66,1,2,2,0.66,0.25
28/06/2021,918117,69120,2.66,1,2,2,0.66,0.25
06/09/2021,980647,69120,3.12,1,2,2,1.12,0.36
28/08/2021,972204,69120,3.12,1,2,2,1.12,0.36
20/09/2021,993807,69120,2.49,1,2,2,0.49,0.2
02/09/2021,976666,69120,3.12,1,2,2,1.12,0.36
07/09/2021,981361,69120,3.05,1,2,2,1.05,0.34
17/07/2021,936812,69120,3.12,1,2,2,1.12,0.36
07/08/2021,955026,69120,3.12,1,2,2,1.12,0.36
16/09/2021,990434,69120,2.49,1,2,2,0.49,0.2
26/09/2021,998418,69120,2.49,1,2,2,0.49,0.2
26/09/2021,998460,69120,2.49,1,2,2,0.49,0.2
31/08/2021,975085,69120,3.12,1,2,2,1.12,0.36
12/09/2021,986239,69120,2.49,1,2,2,0.49,0.2
22/09/2021,994969,69120,2.49,1,2,2,0.49,0.2
11/07/2021,932168,69120,3.12,1,2,2,1.12,0.36
04/07/2021,925298,69120,3.12,1,2,2,1.12,0.36
22/08/2021,966276,69120,3.12,1,2,2,1.12,0.36
08/09/2021,983123,69120,2.3,1,2,2,0.3,0.13
19/09/2021,992800,69120,2.49,1,2,2,0.49,0.2
26/09/2021,997660,69120,2.49,1,2,2,0.49,0.2
11/09/2021,985239,69120,2.49,1,2,2,0.49,0.2
05/07/2021,926035,69120,3.12,1,2,2,1.12,0.36
02/09/2021,976609,69122,3.12,1,2,2,1.12,0.36
