products_id,purchSE_PRICE
95325,0
5547,2
5652,2
12883,2
47080,2
47314,2
47389,2
60375,2
63867,2
68938,2
68945,2
69109,2
69111,2
69112,2
69118,2
69120,2
69122,2
73777,2
73778,2
73807,2
76595,2
77326,2
78442,2
79781,2
81109,2
87759,2
92565,2
94917,2
96003,2
96968,2
102589,2
103072,2
103172,2
108527,2
108598,2
109582,2
112446,2
112447,2
112845,2
114679,2
115599,2
117671,2
117672,2
118193,2
118487,2
121981,2
121983,2
121988,2
121991,2
122069,2
122070,2
122076,2
122077,2
122080,2
122082,2
126989,2
129413,2
141870,2
149967,2
190106,2
44144,2.25
45489,2.25
46684,2.25
46938,2.25
47341,2.25
47400,2.25
69190,2.25
69300,2.25
72826,2.25
75050,2.25
80945,2.25
83819,2.25
103830,2.25
110873,2.25
112077,2.25
115602,2.25
117525,2.25
193180,2.25
23454,2.5
69291,2.5
73582,2.5
77191,2.5
78756,2.5
80174,2.5
81567,2.5
82980,2.5
83625,2.5
84145,2.5
104671,2.5
111493,2.5
112081,2.5
112116,2.5
112732,2.5
112966,2.5
117331,2.5
119234,2.5
121616,2.5
121617,2.5
121801,2.5
122340,2.5
129496,2.5
182715,2.5
190251,2.5
1971,2.75
4162,2.75
5775,2.75
11003,2.75
28494,2.75
43228,2.75
69343,2.75
71839,2.75
80256,2.75
87653,2.75
93520,2.75
104998,2.75
108958,2.75
109563,2.75
111093,2.75
113566,2.75
113677,2.75
113894,2.75
116993,2.75
120148,2.75
122244,2.75
5521,3
71276,3
72067,3
72101,3
73805,3
87654,3
90923,3
95927,3
101750,3
102774,3
107187,3
113278,3
114462,3
114466,3
114467,3
115053,3
118270,3
121115,3
121723,3
190104,3
195737,3
9521,3.25
10048,3.25
19277,3.25
29646,3.25
29647,3.25
44943,3.25
72843,3.25
76692,3.25
81674,3.25
81675,3.25
86506,3.25
86819,3.25
90168,3.25
93984,3.25
106626,3.25
113934,3.25
118224,3.25
118595,3.25
118597,3.25
120982,3.25
120986,3.25
128318,3.25
129373,3.25
182198,3.25
8022,3.5
18115,3.5
46983,3.5
48640,3.5
87089,3.5
87383,3.5
90930,3.5
94055,3.5
99712,3.5
116895,3.5
117302,3.5
117413,3.5
122501,3.5
122579,3.5
129478,3.5
194402,3.5
15861,3.75
19831,3.75
81676,3.75
81677,3.75
83673,3.75
92809,3.75
103195,3.75
116906,3.75
122853,3.75
133904,3.75
158472,3.75
3216,4
19784,4
29584,4
29585,4
29588,4
49301,4
70036,4
72083,4
72628,4
76685,4
81563,4
90263,4
96410,4
108204,4
112054,4
121354,4
122491,4
122514,4
122515,4
133901,4
181503,4
193422,4
193423,4
193424,4
193425,4
193426,4
6034,4.25
11784,4.25
18447,4.25
18450,4.25
79318,4.25
79436,4.25
79806,4.25
85619,4.25
102527,4.25
106305,4.25
107953,4.25
110744,4.25
110833,4.25
111655,4.25
118313,4.25
119195,4.25
121316,4.25
158450,4.25
4160,4.5
10061,4.5
14523,4.5
82763,4.5
90661,4.5
94090,4.5
96096,4.5
110178,4.5
112111,4.5
112261,4.5
120162,4.5
23073,4.75
68198,4.75
78502,4.75
81328,4.75
83068,4.75
117191,4.75
122073,4.75
127019,4.75
194494,4.75
194495,4.75
194498,4.75
6045,5
30512,5
79498,5
86172,5
95840,5
106596,5
110979,5
117858,5
119410,5
121237,5
121239,5
126219,5
44409,5.25
44882,5.25
72123,5.25
83798,5.25
110137,5.25
110138,5.25
110142,5.25
110144,5.25
110155,5.25
110156,5.25
110160,5.25
112560,5.25
112571,5.25
119414,5.25
162413,5.25
162426,5.25
27845,5.5
69358,5.5
101616,5.5
111991,5.5
116620,5.5
121726,5.5
16383,5.75
45597,5.75
72824,5.75
102750,5.75
105192,5.75
116917,5.75
116957,5.75
117463,5.75
6521,6
11862,6
82196,6
92623,6
101461,6
105106,6
107529,6
120161,6
170610,6
69332,6.25
78352,6.25
100353,6.25
108685,6.25
117839,6.25
117863,6.25
140579,6.25
170614,6.25
18318,6.5
44797,6.5
44996,6.5
78714,6.5
80062,6.5
100878,6.5
108924,6.5
109063,6.5
112107,6.5
113234,6.5
118298,6.5
120327,6.5
121671,6.5
121719,6.5
144707,6.5
156044,6.5
156049,6.5
156051,6.5
27857,6.75
71408,6.75
81819,6.75
109086,6.75
110718,6.75
116772,6.75
121399,6.75
122608,6.75
10565,7
75790,7
117612,7
117913,7
122553,7
10383,7.25
70553,7.25
78322,7.25
83792,7.25
88139,7.25
111713,7.25
120250,7.25
9464,7.5
78924,7.5
110363,7.5
114926,7.5
120112,7.5
121687,7.5
121841,7.5
122108,7.5
124881,7.5
201018,7.5
21503,7.75
88419,7.75
20655,8
72248,8
76740,8
77336,8
81678,8
90477,8
90478,8
92005,8
92209,8
95879,8
104395,8
105266,8
110579,8
111240,8
145469,8
162441,8
27864,8.5
76449,8.5
110124,8.5
116226,8.5
122496,8.5
14179,9
48178,9
69612,9
102203,9
104675,9
114243,9
114783,9
122250,9
6219,9.5
91147,9.5
102547,9.5
111720,9.5
117037,9.5
120278,9.5
182051,9.5
21800,10
88287,10
88784,10
104030,10
69339,10.5
147310,10.5
102487,11
113129,11
67578,11.5
96431,11.5
90318,12
142778,12
71326,12.5
102459,12.5
113299,12.5
113195,13
113501,13
113536,13
113560,13
116178,13
116179,13
121286,13
121288,13
121289,13
121290,13
121291,13
121292,13
121293,13
72637,14
77236,14
114250,14
113104,15
122837,15
118549,15.5
119367,16
122065,16
71327,19
82782,19
114675,20
117260,22
108683,24
104674,34
6129,36
11303,52
98087,136
107836,144
104221,0.5
110437,0.5
2191,0.75
12047,0.75
12049,0.75
12050,0.75
12053,0.75
12054,0.75
12057,0.75
72131,0.75
